100 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
105 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0
110 0 1 1 0 0 0 2 3 0 1 2 1 0 1 1 1 0 0 0 0 1 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0
115 0 0 0 1 0 2 0 0 0 2 0 0 0 1 2 0 1 0 0 1 0 1 3 0 1 0 2 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 2 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 2 0 0 0 1 0 0
120 3 1 4 5 2 6 2 2 6 7 1 2 3 3 3 2 1 2 1 1 2 2 7 4 2 1 2 2 1 1 2 2 2 1 2 2 1 3 2 1 1 2 2 2 2 3 1 1 1 1 1 1 2 5 1 1 1 1 3 3 2 1 1 2 2 3 2 3 2 1 3 2 2 3 3 1 2 4 1 2 2 3 0 2 1 1 3 3 1 6 2 3 1 1 2 3 1 2
125 7 1 0 11 0 25 18 2 13 13 4 11 3 8 13 1 0 1 1 3 7 9 25 2 8 2 2 1 1 13 8 2 0 4 3 3 3 0 1 3 1 3 2 4 1 3 0 0 4 1 1 0 0 5 4 4 6 1 2 8 2 3 0 0 5 4 0 2 8 3 4 7 0 13 4 3 3 0 6 1 3 2 0 4 5 0 11 5 8 8 3 10 1 1 4 0 1 3
130 39 9 10 42 9 57 49 17 43 46 9 22 24 26 48 12 12 10 5 16 23 22 70 17 24 10 9 16 5 37 38 15 5 8 4 9 9 14 17 5 2 23 8 23 20 25 21 12 14 1 3 19 23 25 16 21 13 5 12 33 1 32 3 2 14 30 7 22 16 17 16 30 10 32 13 12 7 8 10 7 7 13 4 15 12 5 53 6 12 37 23 23 7 23 8 13 6 6
135 75 35 44 78 40 143 115 57 117 117 46 75 61 67 110 41 52 38 28 41 37 75 212 56 72 39 45 67 49 83 72 38 24 44 19 23 32 42 53 37 19 48 48 67 44 66 40 38 64 26 29 39 60 81 39 52 47 34 36 75 15 68 14 34 35 75 36 53 53 30 68 80 48 70 60 58 43 40 66 35 47 56 21 41 54 36 123 26 65 73 61 79 38 43 34 37 25 26
140 537 139 179 565 104 984 916 187 685 999 214 545 396 429 786 165 218 132 139 304 294 573 1353 392 470 150 165 360 169 680 539 225 182 128 53 65 83 110 151 77 35 161 108 137 164 178 121 112 171 50 94 139 179 238 144 122 116 94 112 215 56 129 53 57 134 222 85 152 173 139 201 247 130 296 135 113 83 121 149 76 76 112 53 128 134 84 424 84 164 280 167 268 99 158 76 100 71 71
145 2789 1476 1593 2482 1435 3301 3204 1752 3012 3316 1763 2456 2128 2448 3151 1409 1875 1530 1442 1963 1893 2706 3780 2172 2405 1535 1726 2699 1552 2793 2584 1719 1804 1398 658 678 1120 1213 1592 973 528 1688 1185 1789 1580 1802 1282 1622 2057 573 1334 1341 1505 1707 1477 1624 1174 1001 1503 1880 749 1625 616 814 1687 2159 1016 1379 1550 1233 1697 1880 990 2023 1253 1264 890 1089 1421 744 963 969 621 1106 1288 934 2739 743 1470 2219 1406 1787 1152 1396 631 865 824 638
150 9192 4991 7118 8182 4889 9746 13227 6061 8095 12883 5424 7677 6679 7056 10133 4700 5674 5323 4706 5631 5813 9053 12404 8510 6595 5574 5712 9470 5044 8981 8054 5246 7452 5327 2664 2564 3219 3496 4379 3176 2213 4435 3924 4777 4118 4512 3505 5125 5861 2718 4080 3388 3707 4094 3580 4373 3273 3091 4188 4728 2812 4251 2647 2844 4509 4995 3512 4328 4584 3767 4922 4934 3610 5224 4332 4137 3670 4033 4177 2865 3599 3436 3217 3559 4125 4170 7269 3517 4528 6296 4002 4840 4105 4172 2998 3212 3536 2991
155 17686548 17690381 17740783 17743763 17743311 17714385 17742131 17717405 17735481 17715735 17738931 17717879 17736063 17717303 17738310 17747305 17747653 17719991 17735022 17736647 17733493 17731934 17711268 17730765 17712572 17727246 17716484 17729348 17714824 17727433 17712405 17729023 17732160 17733718 10670988 10662137 10693852 10666980 10679007 10658396 10649916 10696061 10659306 10690058 10670950 10685827 10671977 10708346 10699599 10659153 10711162 10657378 10675949 10661846 10673633 10660322 10651718 10675108 10671101 10668989 10652103 10677787 10653883 10665318 10703846 10674010 12941549 12923266 12926170 12900952 12925312 12904407 12901837 12918507 12902436 12904074 12904207 12905343 12909625 12911732 12920904 12887522 12924578 12904235 12902380 12904737 12913800 12897584 12883279 12934221 12884989 12909873 12890905 12902470 12877625 12893429 12901261 12890747
160 17812514 17813707 17821880 17868669 17833214 17808405 17853750 17810958 17816987 17810133 17816851 17808758 17816954 17809913 17818474 17818617 17818170 17811145 17816147 17815667 17816100 17817004 17806862 17817667 17807982 17814638 17810651 17817998 17810465 17816349 17808768 17816047 17823217 17824657 17819241 17817080 17818303 17810594 17815290 17810481 17814780 17809899 17813755 17809403 17813163 17808256 17814579 17815017 17814963 17811121 17815334 17812745 17814617 17812264 17809029 17813177 17808197 17814039 17808998 17811829 17809406 17812271 17810341 17814843 17816499 17814666 17815547 17813965 17813679 17811161 17812986 17810867 17812689 17810947 17812940 17811251 17812576 17811297 17812392 17812572 17812661 17811291 17812123 17812824 17812382 17812291 17810767 17812204 17810804 17812325 17810582 17811804 17810906 17811728 17810874 17811834 17812104 17812311
